Conference,Rank,Club City,Club Code,PTS,PPG,GP,W,L,T,GF,GA,GD,Home Wins,Home Losses,Home Ties,Away Wins,Away Losses,Away Ties
East,1,Toronto,TOR,69,2.03,34,20,5,9,74,37,37,13,1,3,7,4,6
East,2,New York City,NYC,57,1.68,34,16,9,9,56,43,13,10,2,5,6,7,4
East,3,Chicago,CHI,55,1.62,34,16,11,7,61,47,14,12,2,3,4,9,4
East,4,Atlanta,ATL,55,1.62,34,15,9,10,70,40,30,11,3,3,4,6,7
East,5,Columbus,CLB,54,1.59,34,16,12,6,53,49,4,12,3,2,4,9,4
East,6,New York,RBNY,50,1.47,34,14,12,8,53,47,6,9,2,6,5,10,2
East,7,New England,NE,45,1.32,34,13,15,6,53,61,-8,12,2,3,1,13,3
East,8,Philadelphia,PHI,42,1.24,34,11,14,8,50,47,3,10,4,3,1,10,6
East,9,Montréal,MTL,39,1.15,34,11,17,6,52,58,-6,8,8,1,3,9,5
East,10,Orlando,ORL,39,1.15,34,10,15,9,39,58,-19,7,5,5,3,10,4
East,11,D.C.,DC,32,0.94,34,9,20,6,31,60,-29,6,8,3,3,12,2
West,1,Portland,POR,53,1.56,34,15,11,8,60,50,10,11,2,4,4,9,4
West,2,Seattle,SEA,53,1.56,34,14,9,11,52,39,13,11,1,5,3,8,6
West,3,Vancouver,VAN,52,1.53,34,15,12,7,50,49,1,9,3,5,6,9,2
West,4,Houston,HOU,50,1.47,34,13,10,11,57,45,12,12,1,4,1,9,7
West,5,Kansas City,SKC,49,1.44,34,12,9,13,40,29,11,10,1,6,2,8,7
West,6,San Jose,SJ,46,1.35,34,13,14,7,39,60,-21,10,2,5,3,12,2
West,7,Dallas,DAL,46,1.35,34,11,10,13,48,48,0,8,2,7,3,8,6
West,8,Salt Lake City,RSL,45,1.32,34,13,15,6,49,55,-6,9,4,4,4,11,2
West,9,Minnesota,MIN,36,1.06,34,10,18,6,47,70,-23,7,6,4,3,12,2
West,10,Colorado,COL,33,0.97,34,9,19,6,31,51,-20,8,5,4,1,14,2
West,11,Los Angeles,LA,32,0.94,34,8,18,8,45,67,-22,3,9,5,5,9,3
